X Y Z abs real imag
-4 6 0 4.98357 -3.03931 3.9495
-4 7 0 5.20491 -3.32288 4.0062
-4 8 0 5.17521 -3.48199 3.82864
-4 9 0 4.98045 -3.41756 3.62287
-4 10 0 4.80639 -3.21921 3.56905
-3 -10 0 5.04226 -4.94868 -0.966901
-3 -9 0 5.24038 -5.16784 -0.868959
-3 -8 0 5.25361 -5.21693 -0.619714
-3 -7 0 5.03767 -5.01962 -0.426085
-3 -6 0 4.72953 -4.70214 -0.508278
-3 -5 0 4.66784 -4.56743 -0.962971
-3 -4 0 4.22079 4.12598 -0.889559
-3 -3 0 1.21608 1.0919 0.535359
-3 -2 0 1.13263 0.883535 0.70868
-3 -1 0 1.23373 0.824784 0.917509
-3 1 0 1.23373 0.824784 0.917509
-3 2 0 1.13263 0.883535 0.70868
-3 3 0 1.21608 1.0919 0.535359
-3 4 0 4.22079 4.12598 -0.889559
-3 5 0 4.66784 -4.56743 -0.962971
-3 6 0 4.72953 -4.70214 -0.508278
-3 7 0 5.03767 -5.01962 -0.426085
-3 8 0 5.25361 -5.21693 -0.619714
-3 9 0 5.24038 -5.16784 -0.868959
-3 10 0 5.04226 -4.94868 -0.966901
-2 -10 0 5.27731 -2.13145 -4.82772
-2 -9 0 5.25074 -2.35637 -4.69231
-2 -8 0 5.01704 -2.39273 -4.40971
-2 -7 0 4.71665 -2.17393 -4.18579
-2 -6 0 4.6019 -1.81605 -4.22841
-2 -5 0 4.92682 -1.55194 -4.676
-2 -4 0 1.7278 -0.075397 1.72615
-2 -3 0 1.05536 -0.369102 0.988707
-2 -2 0 0.666637 -0.214113 0.631316
-2 -1 0 0.680153 -0.0951408 0.673466
-2 1 0 0.680153 -0.0951408 0.673466
-2 2 0 0.666637 -0.214113 0.631316
-2 3 0 1.05536 -0.369102 0.988707
-2 4 0 1.7278 -0.075397 1.72615
-2 5 0 4.92682 -1.55194 -4.676
-2 6 0 4.6019 -1.81605 -4.22841
-2 7 0 4.71665 -2.17393 -4.18579
-2 8 0 5.01704 -2.39273 -4.40971
-2 9 0 5.25074 -2.35637 -4.69231
-2 10 0 5.27731 -2.13145 -4.82772
-1 -10 0 5.18084 2.61369 -4.47322
-1 -9 0 4.94533 2.40665 -4.32022
-1 -8 0 4.68523 2.38257 -4.0342
-1 -7 0 4.59525 2.59942 -3.78937
-1 -6 0 4.79475 2.99259 -3.7462
-1 -5 0 5.51781 3.74224 -4.05485
-1 -4 0 1.4419 -1.23117 0.750538
-1 -3 0 0.901689 -0.854651 -0.287428
-1 -2 0 1.00526 -0.596935 -0.808835
-1 -1 0 0.905562 -0.523589 -0.738848
-1 1 0 0.905562 -0.523589 -0.738848
-1 2 0 1.00526 -0.596935 -0.808835
-1 3 0 0.901689 -0.854651 -0.287428
-1 4 0 1.4419 -1.23117 0.750538
-1 5 0 5.51781 3.74224 -4.05485
-1 6 0 4.79475 2.99259 -3.7462
-1 7 0 4.59525 2.59942 -3.78937
-1 8 0 4.68523 2.38257 -4.0342
-1 9 0 4.94533 2.40665 -4.32022
-1 10 0 5.18084 2.61369 -4.47322
1 -10 0 4.84177 2.62009 4.0716
1 -9 0 4.88346 2.53247 4.17549
1 -8 0 5.00993 2.54081 4.31783
1 -7 0 5.17018 2.64063 4.44498
1 -6 0 5.39231 2.8622 4.56999
1 -5 0 6.33492 4.16493 4.77332
1 -4 0 1.56886 1.44157 -0.619026
1 -3 0 0.945361 0.92181 -0.209697
1 -2 0 0.32432 0.287423 0.150237
1 -1 0 0.811009 0.282343 0.760275
1 1 0 0.811009 0.282343 0.760275
1 2 0 0.32432 0.287423 0.150237
1 3 0 0.945361 0.92181 -0.209697
1 4 0 1.56886 1.44157 -0.619026
1 5 0 6.33492 4.16493 4.77332
1 6 0 5.39231 2.8622 4.56999
1 7 0 5.17018 2.64063 4.44498
1 8 0 5.00993 2.54081 4.31783
1 9 0 4.88346 2.53247 4.17549
1 10 0 4.84177 2.62009 4.0716
2 -10 0 4.99097 -2.14151 4.50818
2 -9 0 5.04524 -2.13714 4.57024
2 -8 0 5.04348 -2.09228 4.58902
2 -7 0 5.01767 -2.08099 4.56579
2 -6 0 5.07913 -2.12658 4.6125
2 -5 0 5.37373 -1.96494 5.0016
2 -4 0 1.86406 1.85675 0.164976
2 -3 0 0.781934 0.0920983 0.776491
2 -2 0 0.992846 -0.603905 0.788062
2 -1 0 0.97517 0.218282 0.950426
2 1 0 0.97517 0.218282 0.950426
2 2 0 0.992846 -0.603905 0.788062
2 3 0 0.781934 0.0920983 0.776491
2 4 0 1.86406 1.85675 0.164976
2 5 0 5.37373 -1.96494 5.0016
2 6 0 5.07913 -2.12658 4.6125
2 7 0 5.01767 -2.08099 4.56579
2 8 0 5.04348 -2.09228 4.58902
2 9 0 5.04524 -2.13714 4.57024
2 10 0 4.99097 -2.14151 4.50818
3 -10 0 5.06971 -5.01163 0.765184
3 -9 0 4.97927 -4.91306 0.809265
3 -8 0 4.85733 -4.80296 0.724772
3 -7 0 4.85554 -4.82565 0.537933
3 -6 0 5.09228 -5.07558 0.412129
3 -5 0 5.57924 -5.54647 0.603804
3 -4 0 3.30296 2.91786 1.54778
3 -3 0 1.82475 -1.52855 0.996624
3 -2 0 1.81295 -1.81161 -0.0695641
3 -1 0 0.808469 0.114222 -0.800359
3 1 0 0.808469 0.114222 -0.800359
3 2 0 1.81295 -1.81161 -0.0695641
3 3 0 1.82475 -1.52855 0.996624
3 4 0 3.30296 2.91786 1.54778
3 5 0 5.57924 -5.54647 0.603804
